source;target;weight
Wójs Arkadiusz;Potasz Paweł;7
Wójs Arkadiusz;Jacak Lucjan;8
Wójs Arkadiusz;Sitko Piotr;36
Wójs Arkadiusz;Misiewicz Jan;4
Wójs Arkadiusz;Wodziński Daniel;19
Wójs Arkadiusz;Jadczak Joanna N.;5
Wójs Arkadiusz;Kubisa Maciej;3
Wójs Arkadiusz;Brzezi?ska Marta;1
Wójs Arkadiusz;Kus̈mierz Bartosz;8
Wójs Arkadiusz;Woźniak Tomasz;2
Dziuban Jan Andrzej;Adamski Jarosław W.;1
Dziuban Jan Andrzej;Jurków Dominik;1
Dziuban Jan Andrzej;Pokrzywnicka Aleksandra;3
Dziuban Jan Andrzej;Grzebyk Tomasz P.;35
Dziuban Jan Andrzej;Kubicki Wojciech;13
Dziuban Jan Andrzej;Gotszalk Teodor Paweł;1
Dziuban Jan Andrzej;Sareło Katarzyna;3
Dziuban Jan Andrzej;Zubel Irena;3
Dziuban Jan Andrzej;Indyka W.;1
Dziuban Jan Andrzej;Gołonka Leszek J.;7
Dziuban Jan Andrzej;Sńiadek Patrycja;5
Dziuban Jan Andrzej;Laszczyk Karolina U.;6
Dziuban Jan Andrzej;Szczepańska Patrycja;12
Dziuban Jan Andrzej;Wasilek P.;1
Dziuban Jan Andrzej;Podwin Agnieszka;3
Dziuban Jan Andrzej;Augustyniaka I.;2
Dziuban Jan Andrzej;Krysztof Michał;11
Dziuban Jan Andrzej;Szyszka Piotr;16
Dziuban Jan Andrzej;Roguszczak Henryk;3
Dziuban Jan Andrzej;Lipowicz U.;3
Dziuban Jan Andrzej;Małecki Krzysztof;1
Dziuban Jan Andrzej;͆niadek Patrycja;2
Dziuban Jan Andrzej;Lizanets Danylo;7
Dziuban Jan Andrzej;Knapkiewicz Paweł;22
Dziuban Jan Andrzej;Malecha Karol;1
Dziuban Jan Andrzej;Drzazga Anna Gorecka;2
Dziuban Jan Andrzej;Radojewski Jacek M.;3
Dziuban Jan Andrzej;Jan Dziuban;2
Dziuban Jan Andrzej;Górecka-Drzazga Anna;60
Dziuban Jan Andrzej;Prociów Eugeniusz L.;5
Dziuban Jan Andrzej;Terech D.;1
Dziuban Jan Andrzej;Augustyniak Izabela;10
Dziuban Jan Andrzej;Barycka Irena;2
Dziuban Jan Andrzej;Walczak Rafał D.;39
Dziuban Jan Andrzej;Herbut Piotr;1
Dziuban Jan Andrzej;Kosek Wojciech;2
Dziuban Jan Andrzej;Tomasz Grzebyk Piotr Szyszka;2
Dziuban Jan Andrzej;Stefanow Marcin;2
Dziuban Jan Andrzej;Dziuban Jan Andrzej;92
Orlowska-Kowalska T.;Galar Roman;2
Orlowska-Kowalska T.;Kamińsaki Marcin;1
Orlowska-Kowalska T.;Lis Joanna D.;6
Orlowska-Kowalska T.;Serkies Piotr Józef;4
Orlowska-Kowalska T.;Skowron Maciej;3
Orlowska-Kowalska T.;Korzonek Mateusz;8
Orlowska-Kowalska T.;Nalepa Radosław;2
Orlowska-Kowalska T.;Kowalski Czeslaw T.;26
Orlowska-Kowalska T.;Teresa Orlowska Kowalska;2
Orlowska-Kowalska T.;Adamczyk Michał;1
Orlowska-Kowalska T.;Klimkowski Kamil;5
Orlowska-Kowalska T.;Nguyen-Thac Khanh;3
Orlowska-Kowalska T.;Tarchała Grzegorz;24
Orlowska-Kowalska T.;Kamiński Marcin;21
Orlowska-Kowalska T.;Sobański Piotr;17
Orlowska-Kowalska T.;Dyrcz Krzysztof P.;10
Orlowska-Kowalska T.;Pawlak Marcin;3
Orlowska-Kowalska T.;Szabat Krzysztof;53
Orlowska-Kowalska T.;Dybkowski Mateusz;56
Orlowska-Kowalska T.;Orlowska-Kowalska T.;135
Orlowska-Kowalska T.;Wolkiewicz Marcin;11
Orlowska-Kowalska T.;Ewert Paweł;4
Orlowska-Kowalska T.;Jaszczak Krzysztof;2
Dziedzic Andrzej;Dudek Marcin W.;5
Dziedzic Andrzej;Tańcula Michal;4
Dziedzic Andrzej;Pławski Szymon;1
Dziedzic Andrzej;Piasecki Tomasz;19
Dziedzic Andrzej;KoŁodenny WŁodzimierz;2
Dziedzic Andrzej;Kubicki Wojciech;1
Dziedzic Andrzej;Nowak Damian;20
Dziedzic Andrzej;Urbaniak Łukasz;1
Dziedzic Andrzej;Felba Jan;2
Dziedzic Andrzej;Czarczyńska Henryka;11
Dziedzic Andrzej;Szymendera Maciej;1
Dziedzic Andrzej;Miś Edward;20
Dziedzic Andrzej;Matkowski Przemysław Krystian;1
Dziedzic Andrzej;Gołonka Leszek J.;42
Dziedzic Andrzej;Słobodzian Piotr M.;3
Dziedzic Andrzej;Szczepańska Patrycja;1
Dziedzic Andrzej;Kłossowicz Adam;11
Dziedzic Andrzej;Berlicki Tadeusz M.;4
Dziedzic Andrzej;Kossowicz Adam;2
Dziedzic Andrzej;Teterycz Helena;3
Dziedzic Andrzej;Tadaszak Katarzyna;1
Dziedzic Andrzej;Ba̧k Maciej;5
Dziedzic Andrzej;Chabowski Konrad;5
Dziedzic Andrzej;Muszyński Marek;1
Dziedzic Andrzej;Borucki Marcin;7
Dziedzic Andrzej;Licznerski Benedykt W.;25
Dziedzic Andrzej;Fałat Tomasz;2
Dziedzic Andrzej;Posadowski Witold Michał;1
Dziedzic Andrzej;Beensh-Marchwicka Grazyna M.;2
Dziedzic Andrzej;Roguszczak Henryk;4
Dziedzic Andrzej;Wróblewski Jacek;2
Dziedzic Andrzej;Winiarski Paweł;12
Dziedzic Andrzej;Kozlowski J. M.;4
Dziedzic Andrzej;Kukula Radoslaw;1
Dziedzic Andrzej;Januszkiewicz Maksymilian;2
Dziedzic Andrzej;Kulczak Dariusz;2
Dziedzic Andrzej;Zaluk Zbigniew;2
Dziedzic Andrzej;Kozłowski Janusz;2
Dziedzic Andrzej;Henke M.;1
Dziedzic Andrzej;Kozbwski J. M.;2
