Id,color
Stelmach Paweł,0
Kokot Adam,0
Pieczyńska Agnieszka,0
Prusiewicz Agnieszka,0
Falas Łukasz,0
Katarzyniak Radosław,0
Pleszkun Michał,0
Wasilewski Adam,0
Tomczak Jakub M.,0
Schauer Patryk,0
Nguyen Ngoc Thanh,139
DrapaŁa Jarosław,0
Grzech Adam Piotr,0
Fraś Mariusz,0
Ziȩba Maciej,0
Witek Pawe,0
Swiatek Pawel,0
Klukowski Piotr,0
Brzostowski Krzysztof,0
Juszczyszyn Krzysztof,139
Kołaczek Grzegorz,0
Cieślińska Katarzyna,0
Sobecki Janusz F.,139
Świa̧tek Jerzy,0
Kwiatkowski Jan,0
Demkiewicz Maciej,0
Sikora Grzegorz,1
Orzeł Sebastian,1
Kucharczyk Daniel,1
Wylomańska Agnieszka,139
MacIejewska Monika,1
Hossa Robert,1
Madziarz Maciej,1
Wodecki Jacek,139
Sokołowski Jakub,1
Michalak Anna,1
͆lęzak Jakub K.,1
Weron Rafał,139
Teuerle Marek,1
Mydlarczyk Wojciech,1
Loch-Olszewska Hanna,1
Magdziarz Marcin,1
Trzmiel Justyna,139
Weron Aleksander,139
Jurlewicz Agnieszka,139
Weron Karina,139
Burnecki Krzysztof,139
Szwabiński Janusz,139
Janczura Joanna,139
Połoczański Rafał,1
Szczurek Andrzej,139
Grzesiek Aleksandra,1
Makowski Ryszard A.,1
Zimroz Radoslaw,139
Ślȩzak Jakub Karol,1
Kruczek Piotr,1
Balcerek Michał,1
Weron Aleksander,139
Weron Karina,139
Mercik Szymon,2
Burnecki Krzysztof,139
Kotulska MaŁgorzata,139
Pyka Dariusz,3
Polak Sławomir,139
Jamroziak Krzysztof,139
Kotowski Piotr,3
Kurzawa Adam,3
Mayer Paulina,3
Karliński Jacek,139
Bocian Mirosław,139
Lesiuk Grzegorz,3
Pach Joanna,3
Widomski Paweł,139
Kosobudzki Mariusz,139
Polak Sławomir,139
Ptak Mariusz,4
Jamroziak Krzysztof,139
Wilhelm Johannes,4
Karliński Jacek,139
Kaczyński Paweł,139
Bocian Mirosław,139
Harnatkiewicz Piotr,139
Kulisiewicz Maciej,4
Kosobudzki Mariusz,139
Rusiński Eugeniusz,4
Stańco Mariusz,4
Derlukiewicz Damian,4
Smolnicki Tadeusz,4
Przybyłek Grzegorz,4
Maślak Paweł,4
Czmochowski Jerzy,4
Sawicki Marek,4
Iluk Artur,4
Działak Paulina,4
Kowalczyk Marcin,4
Górski Artur,4
Pietrusiak Damian,4
Odyjas Piotr,4
Moczko Przemysław,4
Rybaczuk Marek,5
Aniszewska Dorota,5
Bocian Mirosław,139
Jamroziak Krzysztof,139
Kosobudzki Mariusz,139
Mucha Artur,139
Dziełak Anna,6
Serafin-Lewańczuk Monika,6
Grzywa Renata,139
Doskocz Jacek,139
Brzezińska-Rodak Małgorzata,6
Sieńczyk Marcin,139
Macegoniuk Katarzyna,139
Goldeman Waldemar,139
Winiarski Lukasz,6
Kafarski Paweł,139
Młynarz Piotr,139
Klimek-Ochab Magdalena,6
Hałdys Katarzyna,6
Kasperkiewicz Paulina,6
Bochno Marta,6
Berlicki Łukasz,6
Rydzewska Agata,6
Skoreński Marcin,6
Majewska Paulina,6
Gancarz Roman,139
Gõrecki Łukasz,6
Rudzińska Anna,6
Porȩba Marcin,6
Byzia Anna,6
Grabowiecka Agnieszka Monika,139
Kosikowska Paulina,6
Dzièdzioła Gabriela,6
Grela Ewa,139
Latajka Rafał,6
Rudzińska-Szostak Ewa,6
Łęcka Maria,6
Talma Michał,6
Kowalczyk Rafał,139
Pi̧ȩtka-Ottlik Magdalena,139
Żymańczyk-Duda Ewa,139
Drag Marcin,6
Brzezińska-Rodak Małgorzata Ł.,139
Lejczak Barbara,6
Kozyra Kinga,6
Palus Jerzy,139
Burzyńska Agnieszka,6
Oleksyszyn Józef,139
Rut Wioletta,6
Burchacka Ewa,6
Matczak-Jon Ewa,139
Roszak Szczepan M.,139
Boduszek B.,6
Groborz Katarzyna,6
Olszewski Tomasz Krzysztof,139
Brzezińska-Rodak Małgorzata Ł.,139
Żymańczyk-Duda Ewa,139
Strub Daniel Jan,7
Górak Monika,7
Glab Agata,7
Wełna Maja,8
Winiarska Katarzyna,8
Szczygieł Bogdan,139
Pogoda Dorota,8
Cyganowski Piotr,8
Kujawska Małgorzata,8
Bryjak M.,139
Koźlecki Tomasz,139
Grȩda Krzysztof,8
Tylus W.,139
Cierlik Agata,8
Nyk Marcin,139
Borkowska-Burnecka Jolanta,8
Sobianowska-Turek Agnieszka,8
Les̈niewicz Anna,139
Pohl Pawel,8
Żyrnicki Wieslław,139
Kurcbach Konrad,8
Winiarski Juliusz,8
Szymczycha Anna,8
Jermakowicz-Bartkowiak Dorota,8
Jedryczko Dominika,8
Dzimitrowicz Anna,8
Chȩcmanowski Jacek Grzegorz,139
Swiderski Krzysztof,8
Terefinko Dominik,8
Wolska Joanna A.,8
Jamróz Piotr,8
Stelmach Ewelina,8
Polowczyk Izabela,139
Marcinowska Anna,8
MacIoszczyk Jan,139
Radosz Wojciech,139
Jędrzejewski Arkadiusz,9
Mielnik-Pyszczorski Adam,139
Uniejewski Bartosz,9
Brzezi?ska Marta,9
Serafin Tomasz,9
Weron Rafał,139
Maciejowska Katarzyna,9
Kowalska-Pyzalska Anna,9
Szwabiński Janusz,139
Ćwik K.,9
Hubicka Katarzyna,9
Janczura Joanna,139
Apriasz Rafał,9
Marcjasz Grzegorz,9
Nowotarski Jakub,9
Weron Tomasz,9
Nitka Weronika,9
Sznajd-Weron Katarzyna,9
Krüger Tyll S.,9
Michalik Marek,10
Ižykowski Jan,10
RosoŁowski Eugeniusz,10
Łukowicz Mirosław R.,10
Rebizant Waldemar,10
Szabat Krzysztof,11
Serkies Piotr Józef,11
Derugo Piotr,11
Dybkowski Mateusz,139
Orlowska-Kowalska T.,139
Kamiński Marcin,11
Szotek Sylwia,139
Żyrnicki Wieslław,139
Dudzik Grzegorz,139
Furtak Milena,12
Les̈niewicz Anna,139
Soboń Grzegorz,13
Krzempek Karol,13
Kryszak Bartłomiej,13
Pezowicz Celina A.,139
Dudzik Grzegorz,139
Wójcik Michał R.,13
Gomółka Grzegorz,13
Tarnowski Karol,139
MacHerzyński Wojciech,139
Kozioł Paweł E.,13
Pałetko Piotr,139
Łazarek Łukasz K.,13
Pawliszewska Maria,13
Grzymajło Michał,13
Pigłowski Jacek M.,139
Martynkien Tadeusz,139
Antończak Arkadiusz J.,13
Szustakiewicz Konrad,13
Jaworski Piotr,13
Głuszek Aleksander K.,139
Filipiak Jarosław,139
Bogusławski Jakub,13
Stȩpak Bogusz D.,13
Gazińska Małgorzata,13
Nikodem Michal,13
Stachowiak Dorota,13
Abramski Krzysztof Marek,13
Urbańczyk W.,139
Kaczmarek Paweł Roman,13
Hudzikowski Arkadiusz J.,13
Górski Przemyslaw A.,139
Sotor Jarosław,13
Tomaszewska Dorota,13
Tarka Jan,13
Szymczyk-Zió?kowska Patrycja,139
Wąż Adam Tomasz,13
Bieniek Maciej,139
Potasz Paweł,139
Wójs Arkadiusz,139
Bryja Leszek,139
Jadczak Joanna N.,139
Kaczmarkiewicz Piotr,139
Potasz Paweł,139
Kupczyński Michał,15
Jaworowski Błażej,15
Wójs Arkadiusz,139
Witkowska Zuzanna,16
Witek-Krowiak Anna,139
Baśladyńska Sylwia,16
Michalak Izabela,139
Tuhy Łukasz,16
Dmytryk Agnieszka,16
Wilk RadosŁaw,16
Mironiuk Małgorzata,139
Chojnacka Katarzyna W.,139
Saeid Agnieszka,16
Telec Zbigniew,139
Talaga Michał,17
Piwowarczyk Mateusz,17
Trawiński Bogdan,139
Kutrzyński Marcin,17
Malinowski Adrian,17
Bartkowiak Wojciech,139
Piasecki Tomasz,139
Janicki L.,139
Musiał Anna,18
Mielnik-Pyszczorski Adam,139
Zale?ny Robert,139
Badura Mikolaj,18
Kaczmarek Danuta,18
Jadczak Joanna N.,139
Tarnowski Karol,139
Anczykowska Agata,18
Gordel Marta,18
Maliszewska Irena H.,139
Grabarek Dawid,18
Dusanowski Łukasz,18
Kubisa Maciej,18
Gryglewicz Jacek,18
Gelczuk Łukasz,18
Dusanowski Å Ł,18
Wełna Monika,18
Fhui Yong Shiew,18
Paszkiewicz Regina,139
Ramia̧czek-Krasowska Maria,18
Chojnacki Kamil,18
Wielgus Małgorzata,18
Syperek Marcin,18
Parafiniuk Kacper,18
Waszkielewicz Magdalena,139
Sojka Bartlomiej,18
Podhorodecki Artur P.,139
Drozdek Sławomir,18
Borkowska Agnieszka,18
Dbrowska-Szata M.,18
Wojcieszak Damian,18
Mazur Michalł,18
Urbańczyk W.,139
Palus Jerzy,139
Domaradzki Jarosław,18
Kamyczek Paulina,18
Biegański Piotr,18
Bazylińska Urszula,18
Gawlik Andrzej,18
TŁaczaŁa Marek J.,139
Miniewicz Andrzej,139
Gotszalk Teodor Paweł,139
Matczak-Jon Ewa,139
Tłaczał M.,18
Scharoch Pawel,18
Ściana Beata,18
Ryczko Krzysztof,18
Olesiak-Bańska Joanna,139
Sieradzka Karolina,18
Zielony Eunika,139
Baniewicz Kosma,18
Czajkowski Mac Iej,18
Pałetko Piotr,139
Zatryb Grzegorz,139
Pucicki Damian,18
Orski Wojciech,18
Boratýnski Bogusław S.,18
Myśliwiec Jarosław,18
Głuszek Aleksander K.,139
Zawada Joanna,18
Maryński Aleksander,18
Mika Arkadiusz,18
Podemski Paweł,18
Pasierbek Mac Iej,18
Rudno-Rudziski W.,18
Linhart Wojciech M.,18
Bielak Katarzyna,18
Karpinski Pawel,18
Utko M.,18
Masalska Agata,18
Sęk Grzegorz,18
Motyka Marcin,18
Paszkiewicz Bogdan,18
Wójs Arkadiusz,139
Wilk Kazimiera Anna,139
Palewska Krystyna,139
Wosko Mateusz,18
Andrzejewski Janusz,139
Dybała Filip,18
Sznitko L.,18
Gawarecki Krzysztof,18
Kijaszek Wojciech,18
Stafiniak Andrzej,18
Poloczek Przemysław,18
Prociów Eugeniusz L.,18
Latkowska-Baranowska M.,18
Kordas Wojciech,18
Nitsch Karol,139
Pražmowska Joanna,18
Sobolewska Anna,18
Gawełczyk Michał,18
͆ciana B.,18
Wyborski Paweł,18
Noga Joanna,18
Posadowski Witold Michał,139
Kozłowski Janusz,139
Ortyl Ewelina,18
MacHerzyński Wojciech,139
Rudno-Rudziňski Wojciech,18
Kotwica Tomasz,18
Czeczot Aleksandra,18
Janiak Filip,18
Zelechowska Monika,18
Bryja Leszek,139
Jurkowska Aleksandra,18
Jezierski Krzysztof,139
Zaręba Jan K.,139
Serafińczuk Jarosław,18
Indykiewicz Kornelia,18
Kaczmarck D.,18
Radosz Wojciech,139
Pucek Agata,18
Samoc M.,139
Oleszkiewicz Waldemar,18
Orlikowska Hanna,18
PŁaczek-Popko Ewa,139
Drobczyński Sławomir,139
Sitarek Piotr,18
Zielińska Sonia,18
Zelewski Szymon J.,18
Da̧browska-Szata Maria,18
Berlicki Tadeusz M.,18
Los Kornelia,18
Girones Julie,18
Pawlik Grzegorz,139
Poniedziałek Agata,18
Kotulska MaŁgorzata,139
Żelazna Karolina,18
Panek Marek,18
Oliva Robert,18
Komorowska Katarzyna,18
Szyszka Adam,18
Samoć Marek,139
Mituś Antoni C.,139
Machnikowski P.,18
Nyk Marcin,139
Bartkiewicz S.,18
Sikora Andrzej,18
Misiewicz Jan,139
Kudrawiec Robert,139
Musia A.,18
Zborowska-Lindert Iwona,18
Kaczmarkiewicz Piotr,139
Mazur Michał,18
Dawidowski Wojciech,18
Lamch Łukasz,18
Obłak Michał,18
Noculak Agnieszka,18
Baranowski Michał,18
Gancarz Roman,139
Gładysiewicz Marta,139
Markiewicz P.,18
Latkowska Magdalena,18
Jóźwiak Grzegorz,139
Taczaa M.,18
Zieliński Maciej,18
Kurka Marcin,18
Radziewicz Damian,18
Chrzanowski Maciej,18
Łuczyński Jacek,139
Justyniarski Adrian,18
Olszewski Jacek,139
Fra̧ckowiak Renata,18
Wiatrowski Artur,139
Korbutowicz Ryszard,18
Indyka Joanna,18
Holewa Paweł,18
Kopaczek Jan,18
Wawrzyńczyk Dominika,18
Bański Mateusz,18
Patela Segiusz,139
Adamiak Bogdan,18
Witek-Krowiak Anna,139
Pokomeda Karol,19
Podstawczyk Daria Anna,19
Michalak Izabela,139
Chojnacka Katarzyna W.,139
Dawiec-Liśniewska Anna,19
Masajada Jan,139
PopioŁek-Masajada Agnieszka,139
Kurzynowski Piotr,139
Augustyniak Ireneusz,20
Szatkowski Mateusz,20
Masajada Jan,139
Dubik Bogusława Ł Awa,21
Fra?czek Ewa,21
Bczyńskidro Sławomir,21
Leniec Monika,21
Borwinńska Monika,21
PopioŁek-Masajada Agnieszka,139
Drobczyński Sławomir,139
Banach Marcelina,21
Woźniak Władysław A.,21
Mroczka Janusz,139
Popiotek-Masajada Agnieszka,21
Popiołek-Masajada Agnieszka,21
Fra?czek Wojciech,21
Kurzynowski Piotr,139
Borwiñska Monika,21
Budzyń Grzegorz,21
Ryznar Michał,22
Grzywny Tomasz,22
Bogdan Krzysztof,22
Jakubowski Tomasz,22
Kwaśnicki Mateusz,22
Sztonyk Paweł,22
Juszczyszyn Tomasz,22
Kulczycki Tadeusz,22
Szczypkowski Karol,22
Małecki Jacek,22
MacHnikowski Jacek,23
Rutkowski Piotr,139
Gryglewicz Graz̊yna,139
Moyseowicz Adam,23
Śliwak Agata,23
Gryglewicz Stanisław,139
Grzyb Bartosz,23
Miniach Ewa,23
Ćwikła Joanna,23
Kierzek Krzysztof,23
Torchała Kamila,23
Lorenc-Grabowska Ewa,23
MacHnikowska Helena,23
Wȩgrzyńska Joanna,24
Witek Stanisłlaw,24
Maliszewska Irena H.,139
Chlebicki Jan,139
Łuczyński Jacek,139
Piasecki Andrzej,139
Wilk Kazimiera Anna,139
Brach Katarzyna,25
Poznar Monika,25
Olesiak-Bańska Joanna,139
Dobryszycki Piotr,139
Waszkielewicz Magdalena,139
Rózycka Mirosława,25
Hołubowicz Rafał,139
Samoć Marek,139
Wojtas Magdalena,25
Oz̀yhar Andrzej,139
Olesiak-Bańska Joanna,139
Dudek Marta,26
Samoc M.,139
Samoć Marek,139
Pokładek Ziemowit,26
Młynarz Piotr,139
Zatryb Grzegorz,139
Podhorodecki Artur P.,139
Klak M. M.,27
Golacki Lukasz W.,27
Misiewicz Jan,139
Szatkowski Janusz,139
Sierański Kazimierz,139
Pawlikowski Janusz Marek,28
Andrzejewski Janusz,139
Misiewicz Jan,139
