Id,color
Drozdek Sławomir,0
Wawrzyńczyk Dominika,0
Bazylińska Urszula,0
Fra̧ckowiak Renata,0
Lamch Łukasz,0
Nyk Marcin,0
Wilk Kazimiera Anna,0
Samoc M.,0
Wosko Mateusz,1
Sęk Grzegorz,1
Gładysiewicz Marta,22
Andrzejewski Janusz,1
Kozłowski Janusz,1
Serafińczuk Jarosław,1
Panek Marek,1
Badura Mikolaj,1
Baranowski Michał,22
Ryczko Krzysztof,1
Podemski Paweł,1
Machnikowski P.,1
Latkowska-Baranowska M.,1
Gawełczyk Michał,1
Pražmowska Joanna,1
͆ciana B.,1
Zielony Eunika,1
Mielnik-Pyszczorski Adam,1
Latkowska Magdalena,1
MacHerzyński Wojciech,22
Kudrawiec Robert,22
Motyka Marcin,1
Dusanowski Łukasz,1
Radziewicz Damian,1
TŁaczaŁa Marek J.,1
Bielak Katarzyna,1
Gelczuk Łukasz,1
Pucicki Damian,1
Maryński Aleksander,1
Poloczek Przemysław,1
Janiak Filip,1
Gawarecki Krzysztof,1
Sitarek Piotr,1
Szyszka Adam,1
Kaczmarkiewicz Piotr,1
Jezierski Krzysztof,1
Rudno-Rudziňski Wojciech,1
Ściana Beata,1
Żelazna Karolina,1
Kubisa Maciej,1
Boratýnski Bogusław S.,1
Musiał Anna,1
PŁaczek-Popko Ewa,1
Janicki L.,1
Misiewicz Jan,22
Syperek Marcin,22
Zborowska-Lindert Iwona,1
Obłak Michał,1
Kamyczek Paulina,1
Paszkiewicz Regina,1
Kopaczek Jan,22
Paszkiewicz Bogdan,1
Dawidowski Wojciech,1
Korbutowicz Ryszard,1
Podhorodecki Artur P.,1
Dusanowski Å Ł,1
Da̧browska-Szata Maria,1
Pałetko Piotr,2
MacHerzyński Wojciech,22
Sotor Jarosław,22
Soboń Grzegorz,22
Abramski Krzysztof Marek,22
Krzempek Karol,22
Bogusławski Jakub,2
Kaczmarek Paweł Roman,22
Tarka Jan,22
Stachowiak Dorota,3
Sotor Jarosław,22
Soboń Grzegorz,22
Abramski Krzysztof Marek,22
Krzempek Karol,22
Kaczmarek Paweł Roman,22
Nikodem Michal,22
Tarka Jan,22
Sotor Jarosław,22
Hudzikowski Arkadiusz J.,4
Soboń Grzegorz,22
Dudzik Grzegorz,22
Abramski Krzysztof Marek,22
Głuszek Aleksander K.,4
Krzempek Karol,22
Nikodem Michal,22
Sotor Jarosław,22
Soboń Grzegorz,22
Dudzik Grzegorz,22
Antończak Arkadiusz J.,5
Abramski Krzysztof Marek,22
Krzempek Karol,22
Kaczmarek Paweł Roman,22
Nikodem Michal,22
Wąż Adam Tomasz,5
Kołaczek Grzegorz,22
Cieślińska Katarzyna,6
Ziȩba Maciej,6
Brzostowski Krzysztof,22
Kwiatkowski Jan,6
Prusiewicz Agnieszka,6
Stelmach Paweł,22
Wasilewski Adam,6
DrapaŁa Jarosław,6
Grzech Adam Piotr,6
Juszczyszyn Krzysztof,22
Fraś Mariusz,6
Klukowski Piotr,6
Swiatek Pawel,22
Sobecki Janusz F.,6
Tomczak Jakub M.,6
Świa̧tek Jerzy,6
Koźlecki Tomasz,7
Dzimitrowicz Anna,7
Wolska Joanna A.,7
Cyganowski Piotr,7
Pohl Pawel,7
Jermakowicz-Bartkowiak Dorota,7
Jamróz Piotr,7
Les̈niewicz Anna,7
Pawlik Grzegorz,8
Mituś Antoni C.,8
Sznitko L.,8
Bartkiewicz S.,8
Miniewicz Andrzej,8
Karpinski Pawel,8
Parafiniuk Kacper,8
Myśliwiec Jarosław,8
Sobolewska Anna,8
Maliszewska Irena H.,9
Palus Jerzy,22
Kloc Krystian,22
Chojnacka Magdalena,9
Syper Ludwik,22
Młochowski Jacek,22
Wójtowicz Halina,22
Giurg Mirosław,22
Guszkowski Tomasz,10
Pȩkala Janusz,10
Jabłoński Ireneusz,10
Polak Adam G.,10
Mroczka Janusz,22
Stȩpień A. F.,10
Kasprzak Bogdan,10
G?omb Grzegorz,10
Świerczyński Zbigniew,10
Dubik Bogusława Ł Awa,11
Woźniak Władysław A.,11
Fra?czek Ewa,11
Masajada Jan,11
Fra?czek Wojciech,11
Mroczka Janusz,22
PopioŁek-Masajada Agnieszka,11
Popiołek-Masajada Agnieszka,11
Borwiñska Monika,11
Kurzynowski Piotr,11
Palus Jerzy,22
Kloc Krystian,22
Syper Ludwik,22
Osajda Mariusz,12
Młochowski Jacek,22
Brza̧szcz Monika,12
Wójtowicz Halina,22
Giurg Mirosław,22
Porȩba Marcin,13
Łęcka Maria,13
Drag Marcin,13
Mucha Artur,13
Grzywa Renata,13
Kasperkiewicz Paulina,13
Rut Wioletta,13
Skoreński Marcin,13
Sieńczyk Marcin,13
Orłowski Marek Marek,14
Zoglowek Anna,14
Dobryszycki Piotr,14
Jakób Michał,14
Seliga Justyna,14
Kowalska Agnieszka,14
Oz̀yhar Andrzej,14
Greb-Markiewicz Beata,14
Tarczewska Aneta,14
Kochman Marian K.,14
Wieczorek Elżbieta,14
Bielska Katarzyna,14
Kozłowska Małgorzata,14
Smolnicki Tadeusz,15
Kulisiewicz Maciej,15
Bocian Mirosław,15
Karliński Jacek,15
Rusiński Eugeniusz,15
Czmochowski Jerzy,15
Pietrusiak Damian,15
Stańco Mariusz,15
Odyjas Piotr,15
Ptak Mariusz,15
Kosobudzki Mariusz,15
Jamroziak Krzysztof,15
Derlukiewicz Damian,15
Iluk Artur,15
Moczko Przemysław,15
Działak Paulina,15
Kołaczek Grzegorz,22
Kokot Adam,16
Juszczyszyn Krzysztof,22
Brzostowski Krzysztof,22
Demkiewicz Maciej,16
Falas Łukasz,16
Swiatek Pawel,22
Schauer Patryk,16
Stelmach Paweł,22
Ditkowski Bartosz,17
Peczyńska-Czoch Wanda,17
Kloc Krystian,22
Syper Ludwik,22
Młochowski Jacek,22
Wolański Marcin,17
Wójtowicz Halina,22
Gȩbala Magdalena,17
Giurg Mirosław,22
Czerep Michał,18
Zgóra Jacek,18
Baranowski Marcin,18
Krochmalny Krystian,18
Niedzwiecki Lukasz,18
Pawlak-Kruczek Halina,18
Kowal Mateusz,18
Ostrycharczyk Michał,18
Wnukowski Mateusz,18
Misiewicz Jan,22
Syperek Marcin,22
Scharoch Pawel,19
Linhart Wojciech M.,19
Gładysiewicz Marta,22
Kudrawiec Robert,22
Baranowski Michał,22
Kopaczek Jan,22
Błażej Ryszard,20
Król Robert,20
Jurdziak Leszek,20
Gładysiewicz Lech,20
Zimroz Radoslaw,20
Kisielewski Waldemar,20
Hardygóra Monika,20
Kawalec W.,20
Kaszuba Damian,20
Bajda Mirosław,20
Sadowski Łukasz,21
Wójcicki Zbigniew,21
Berkowski Piotr A.,21
Gorzelańczyk Tomasz,21
Schabowicz Krzysztof,21
Dmochowski Grzegorz,21
Hoła Jerzy,21
Grosel Jacek,21
