"source","target","weight"
"Zielichowski Mieczysław","Mydlikowski Remigiusz","8"
"Grza̧ślewicz Ryszard","Grz⇓ślewicz Ryszard","7"
"Grza̧ślewicz Ryszard","Grząiślewicz Ryszard","1"
"Charytonowicz Jerzy","Charytonowicz Jerzy","1"
"Charytonowicz Jerzy","Latala Dzoana","1"
"Olszak Zbigniew","Olszak Zbigniew","2"
"Olszak Zbigniew","Słuka Karina","2"
"Olszak Zbigniew","Wełyczko Joanna","1"
"Zaborski Stanisław","Poroś Dariusz","2"
"Zaborski Stanisław","Zaborski Stanisław","5"
"Sikorski Ryszard Tadeusz","Czerwińska Elzbieta","2"
"Sikorski Ryszard Tadeusz","Sikorski Ryszard Tadeusz","6"
"Serafin Jacek","Serafin Jacek","5"
"Serafin Jacek","Downarowicz Tomasz","8"
"Sierocki Ireneusz","Sierocki Ireneusz","5"
"Hotloś Marian","Roter Witold","3"
"Hotloś Marian","Hotlo Marian","4"
"Hotloś Marian","Hotloś Marian","8"
"Kutyłowski Ryszard","Kutyłowski Ryszard","4"
"Kutyłowski Ryszard","Szwechłowicz Marek","2"
"Zabawa Jacek","Zabawa Jacek","7"
"Zabawa Jacek","Mielczarek Bo̊zena","8"
"Zabawa Jacek","Uziałko-Mydlikowska Justyna","4"
"Zabawa Jacek","Hajłasz Maria","2"
"Da̧browski J. R.","Da̧browski J. R.","4"
"Mydlikowski Remigiusz","Mydlikowski Remigiusz","2"
"Klink Janusz Henryk","Klink Janusz Henryk","4"
"Nowakowski Przemysław","Nowakowski Przemysław","1"
"Frej Bartosz","Huczek Dawid","2"
"Frej Bartosz","Frej Bartosz","8"
"Frej Bartosz","Frej Paulina","3"
"Frej Bartosz","Downarowicz Tomasz","8"
"Frej Bartosz","Kwaśnicka Agata","2"
"Kowalski Zbigniew S.","Kowalski Zbigniew S.","6"
"Kubik Tomasz","Kubik Tomasz","2"
"Morzuch Waldemar","Morzuch Waldemar","6"
"Morzuch Waldemar","Gabryszewski Zdzislaw","4"
"Tabakow Iwan G.","Tabakow Iwan G.","5"
"Bolek Wiktor","Wisniewski Tadeusz","4"
"Bolek Wiktor","Bolek Wiktor","5"
"Samotij Krzysztof","Samotij Krzysztof","4"
"Janiak Kamil","Janiak Kamil","1"
"Janiak Kamil","Jurga Anna","1"
"Janiak Kamil","Kuźma Joanna","1"
"Własak Jacek","Własak Jacek","5"
"Huczek Dawid","Huczek Dawid","2"
"Huczek Dawid","Serafin Jacek","2"
"Huczek Dawid","Frej Bartosz","3"
"Huczek Dawid","Frej Paulina","1"
"Huczek Dawid","Downarowicz Tomasz","8"
"Huczek Dawid","Kwaśnicka Agata","1"
"Kazimierczak Jan","Kazimierczak Jan","5"
"Kazimierczak Jan","Łysakowska Barbara","2"
"Misztal SŁawomir","Misztal SŁawomir","2"
"Wojtas Mieczyslaw","Wojtas Mieczyslaw","4"
