"source","target","weight"
"Hull Sylwia","Hull Sylwia","1"
"Chomiak Maciej","Hull Sylwia","1"
"Glogowski Marek J.","Hull Sylwia","2"
"Trawczyński Janusz T.","Hull Sylwia","1"
"Witkowska Zuzanna","Hull Sylwia","1"
"Wilk RadosŁaw","Baśladyńska Sylwia","1"
"Wilk RadosŁaw","Tuhy Łukasz","2"
"Wilk RadosŁaw","Witkowska Zuzanna","1"
"Wilk RadosŁaw","Artmańska Małgorzata","2"
"Wilk RadosŁaw","Witek-Krowiak Anna","2"
"Wilk RadosŁaw","Michalak Izabela","7"
"Wilk RadosŁaw","Biegańska Sylwia","2"
"Wilk RadosŁaw","Saeid Agnieszka","1"
"Wilk RadosŁaw","Barańska Marzanna","2"
"Wilk RadosŁaw","Popko Małgorzata","1"
"Wilk RadosŁaw","Górecka Helena","2"
"Wilk RadosŁaw","Wilk RadosŁaw","5"
"Pacyga Pawel","Wilk RadosŁaw","1"
"Samoraj Mateusz","Wilk RadosŁaw","1"
"Tuhy Łukasz","Wilk RadosŁaw","2"
"Popko Małgorzata","Wilk RadosŁaw","1"
"Baśladyńska Sylwia","Wilk RadosŁaw","1"
"Miller Urszula","Wilk RadosŁaw","1"
"Dmytryk Agnieszka","Wilk RadosŁaw","4"
"Saeid Agnieszka","Wilk RadosŁaw","1"
"Sówka Izabela","Wilk RadosŁaw","1"
"Michalak Izabela","Wilk RadosŁaw","14"
"Górecka Helena","Sadowski Zygmunt","1"
"Górecka Helena","Baśladyńska Sylwia","2"
"Górecka Helena","Artmańska Małgorzata","4"
"Górecka Helena","Hoffmann Krystyna","4"
"Górecka Helena","Skut Jakub","2"
"Górecka Helena","Biegańska Sylwia","3"
"Górecka Helena","Matynia Andrzej","1"
"Górecka Helena","Noworyta Andrzej W.","2"
"Górecka Helena","Saeid Agnieszka","1"
"Górecka Helena","Hoffmann Józef","5"
"Górecka Helena","Gołab Z.","1"
"Górecka Helena","Barańska Marzanna","6"
"Górecka Helena","Chojnacka Katarzyna","10"
"Górecka Helena","Labuda MaŁgorzata","1"
"Górecka Helena","Chojnacki Andrzej","10"
"Górecka Helena","Górecka Helena","19"
"Kwašnicki R.","Górecka Helena","1"
"Ligas Bartosz","Górecka Helena","1"
"Izydorczyk Grzegorz","Górecka Helena","1"
"Skrzypczak Dawid","Górecka Helena","2"
"Pokomeda Karol","Górecka Helena","1"
"Wojciechowski Piotr M.","Górecka Helena","1"
"Samoraj Mateusz","Górecka Helena","4"
"Tuhy Łukasz","Górecka Helena","2"
"Sadowski Zygmunt","Górecka Helena","1"
"Hoffmann Józef","Górecka Helena","2"
"Kafarski Paweł","Górecka Helena","1"
"Biegańska Sylwia","Górecka Helena","1"
"Zielińjska Agnieszka","Górecka Helena","1"
"Jagiełło Monika","Górecka Helena","1"
"Artmańska Małgorzata","Górecka Helena","3"
"Kocek Daria","Górecka Helena","1"
"Mikula Katarzyna","Górecka Helena","2"
"Popko Małgorzata","Górecka Helena","2"
"Barańska Marzanna","Górecka Helena","4"
"Wyciszkiewicz Małgorzata","Górecka Helena","2"
"Baśladyńska Sylwia","Górecka Helena","3"
"Chojnacka Katarzyna","Górecka Helena","6"
"Mironiuk Małgorzata","Górecka Helena","3"
"Dawiec-Liśniewska Anna","Górecka Helena","2"
"WoŁowiec Paulina","Górecka Helena","4"
"Dmytryk Agnieszka","Górecka Helena","2"
"Witkowska Zuzanna","Górecka Helena","3"
"Podstawczyk Daria Anna","Górecka Helena","4"
"Zwoździak Anna B.","Górecka Helena","1"
"Witek-Krowiak Anna","Górecka Helena","9"
"Biskupski Andrzej","Górecka Helena","3"
"Saeid Agnieszka","Górecka Helena","25"
"Sówka Izabela","Górecka Helena","1"
"Michalak Izabela","Górecka Helena","25"
"Michalak Izabela","Mikołajewska Dorota","4"
"Bezak Katarzyna","Noworyta Andrzej","1"
"Bezak Katarzyna","Ko l Tuniewicz Andrzej","2"
"Brjyak Marek","Bezak Katarzyna","1"
"Modelski Szymon Z.","Bezak Katarzyna","2"
